id,name,subject,salary
5001,Elizabeth Holloway,Math,75452.38
5002,Peggy Perez,Science,31647.96
5003,Cynthia Pierce,Math,65502.67
5004,Jamie David,Math,79756.79
5005,Eric Stein,Math,56089.48
5006,Jonathan Gutierrez,Math,68398.38
5007,Julie Wallace,Science,63775.92
5008,Timothy Brewer,Computer,49887.83
5009,Maria Hernandez,History,62575.31
5010,Jesse Lynch,Chemistry,69591.76
5011,Amy Compton,History,40877.78
5012,Kevin Moore DVM,English,65818.82
5013,Kaitlyn Parrish,Science,67000.53
5014,Elizabeth Miller,Math,72990.3
5015,Christopher Perez,English,64232.47
5016,Emily Moore,Physics,36898.07
5017,Frances Walsh,Math,66057.63
5018,Edward Blankenship,English,74646.24
5019,Lauren Reed,Biology,78832.96
5020,Dennis Moore,Science,35079.16
5021,Matthew Schultz,Computer,69626.09
5022,David Guerra,Chemistry,30656.44
5023,Martha Fisher,Computer,66546.77
5024,Kimberly James,English,79360.0
5025,Lisa Ramirez,Geography,67652.19
5026,Kevin Burns,Biology,71488.63
5027,Tammy Riley,English,53125.58
5028,Lawrence Jimenez,History,35739.73
5029,Shane Jacobs,Science,69190.12
5030,Holly Barajas,Math,30783.76
5031,Roger Gonzalez,Science,75105.69
5032,Robert Wallace,Computer,62755.97
5033,Justin Mendoza,Chemistry,30479.51
5034,Lisa Harvey,History,72360.27
5035,Calvin Jones,Math,46999.3
5036,Gabrielle Blevins,Geography,53753.08
5037,Gary Ballard,Math,42543.17
5038,Maria Shea,Geography,69834.19
5039,Jason Montgomery,Geography,62914.34
5040,Jordan Gregory,Geography,69937.65
5041,Gary Ferguson,Biology,78766.31
5042,Jose Scott,Math,48305.53
5043,Jordan Owens,Computer,58737.38
5044,Angela Espinoza,Geography,50234.88
5045,Jesse Rivas,English,44214.88
5046,Jerry Massey,Science,40566.17
5047,Christine Ruiz,Math,46256.57
5048,Michael Thomas,Biology,69823.36
5049,Julia Lyons,Computer,64927.42
5050,Stephanie Murphy,English,30436.57
5051,Julie Patton,Science,41229.44
5052,Christopher Rhodes,Math,36401.11
5053,Brooke Peterson,History,72340.54
5054,Brenda Owens,Biology,73158.61
5055,Jessica Cunningham,History,41602.48
5056,Charles Murphy,Chemistry,55997.37
5057,Dawn Warner,Computer,55450.57
5058,Lisa Esparza,English,37527.39
5059,Jennifer Collins,Biology,78713.66
5060,David Wright,Physics,38712.48
5061,Stacie Clay,History,67974.61
5062,Christina Mullins,Math,37320.83
5063,Mary Scott,Computer,43783.64
5064,Alexander Salinas,Science,76843.59
5065,Regina Cook,English,35104.78
5066,Zachary Baker,Chemistry,38643.97
5067,Kayla Pena,History,51421.96
5068,Robert Fisher,Math,31921.38
5069,Maria Weiss,Computer,69109.55
5070,Paige Hammond,History,63868.81
5071,Jill Watson,English,51582.66
5072,George Long,History,69518.98
5073,Danny Ball,Biology,67654.8
